MS_NO,DIVISION_GROUP,DIVISION_NAME,DEPT_GROUP_NAME,DEPARTMENT_NAME,SUBDEPARTMENT_NAME,CLASS_NAME,SUBCLASS_NAME,ART_SV_NAME,ART_SV_NAME_ENG,ART_NO,ART_SV_NO,BARCODE,BRAND,MODEL_NO,EXTRA_INFO,DC_SUPPL_NO,DC_SUPPL_NAME
470200201,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047020 CLEANER,04702002 FLOOR CARE,0470200201 ALL PURPOSE,น้ำยาถูพื้นมัสเซิลฟลอรัล2000มล,MM FLR PF FL 2L,100578918,0,8850175004264,MR. MUSCLE,แอคซี1800MLสว,NMD200626,9110142,9110142 : BPINDC-XDOCK(42)
470200201,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047020 CLEANER,04702002 FLOOR CARE,0470200201 ALL PURPOSE,น้ำยาถูพื้นมัสเซิลลาเวน 2000มล,MM LVD1 FL 2L,100578916,0,8850175004240,MR. MUSCLE,แอคซี1800ML ล,DMD200726,9110142,9110142 : BPINDC-XDOCK(42)
470400306,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047040 INSECTICIDE CON,04704003 PESTICIDE / POISON,0470400306 INSECT BAIT/TRAPS,ไบเออควอนตั้ม เหยื่อกำจัดมด12ก,BAYER QUANTUM12G,102547088,0,8850172831016,QUANTUM,NO_MODEL,NMD200626,9110142,9110142 : BPINDC-XDOCK(42)
470400301,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047040 INSECTICIDE CON,04704003 PESTICIDE / POISON,0470400301 ROACH BAIT/TRAP,แบลททาเน็กซ์เจล 12 ก.,BLATTANEX GEL 12 G.,102246777,0,8850172715002,BLATTANEX,NO_MODEL,NMD200626,9110142,9110142 : BPINDC-XDOCK(42)
620200201,03 OTHER,06 PHARMACY,0620 OVER THE COUNTER,0620 OVER THE COUNTER,062020 DERMATOLOGICALS,06202002 TOPICAL ANTIFUNGALS,0620200201 LC TOPICAL ANTIFUNGALS PREPARATIONS,P_คาเนสเทน โอ.ดี ครีม 15G,P_CANESTEN OD CREAM 15G,103255260,0,8850172294521,CANESTEN,DRUG,POG020626,9110241,9110241 : BPNPUREDC-STOCKING(41)
670200708,03 OTHER,06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067020 SUPPLEMENTS & NUTRITION,06702007 SUPPLEMENTS&ADJUVANT THERAPY,0670200708 NL HERBAL & BOTANICALS EXTRACTS,P_BEROCCAเอลเดอโคลีนซิงค์10มล,P_BEROCCAELDERCHOLINE&ZNTH10ML,103189018,0,8850172294293,BEROCCA,NUTRITION,DCP130626,9110241,9110241 : BPNPUREDC-STOCKING(41)
620700101,03 OTHER,06 PHARMACY,0620 OVER THE COUNTER,0620 OVER THE COUNTER,062070 RESPIRATORIES SYSTEM,06207001 ANTIHISTAMINES&ANTIALLERGICS,0620700101 LC ANTIHISTAMINE,P_CLARITYNE 10 MG 10'S,P_CLARITYNE 10 MG 10'S,100757902,0,8850172270211,CLARITYNE,DRUG,NMD190326,9110241,9110241 : BPNPUREDC-STOCKING(41)
670100101,03 OTHER,06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701001 VITAMIN B,0670100101 LC VITAMIN B & MULTI B,P_บีรอคคา ฟรุ๊ตตี้ เพอร์ฟอร์มานซ์ 15 เม็ด,P_บีรอคคา เพอร์ฟอร์มานซ์ ฟรุ๊กตี้ 15 เม็ด,101381427,0,8850172253405,BEROCCA,DRUG,NMD070326,9110241,9110241 : BPNPUREDC-STOCKING(41)
670100101,03 OTHER,06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701001 VITAMIN B,0670100101 LC VITAMIN B & MULTI B,P_บีรอคคาเพอร์ฟอร์มาน3X15เม็ด,P_BEROCCA PERFORMANCE3X15,102552860,0,8850172253337,BEROCCA,DRUG,NMD070326,9110241,9110241 : BPNPUREDC-STOCKING(41)
670100101,03 OTHER,06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701001 VITAMIN B,0670100101 LC VITAMIN B & MULTI B,P_BEROCCA ส้ม2X15เม็ด,P_BEROCCA ORANGE2X15TAB,102393031,0,8850172253214,BEROCCA,DRUG,NMD070326,9110241,9110241 : BPNPUREDC-STOCKING(41)
670100101,03 OTHER,06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701001 VITAMIN B,0670100101 LC VITAMIN B & MULTI B,P_6 บีรอคคา ส้ม เพอร์ฟอร์เมน เม็ดฟู่ 15 เม็ด,P_BEROCCA PERFORMANCE 15'S,100795272,0,8850172253009,BEROCCA,DRUG,NMD070326,9110241,9110241 : BPNPUREDC-STOCKING(41)
670100401,03 OTHER,06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701004 VITAMINS & MINERALS,0670100401 LC CALCIUM & MINERALS  ,P_CDRรสส้ม 30 เม็ด,P_CDR ORANGE 30S,101999596,0,8850172251128,CDR,DRUG,NMD070326,9110241,9110241 : BPNPUREDC-STOCKING(41)
670100401,03 OTHER,06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701004 VITAMINS & MINERALS,0670100401 LC CALCIUM & MINERALS  ,P_ซีดีอาร์ รสส้ม 15 เม็ด,P_CDR ORANGE 15'S,101999594,0,8850172251111,CDR,DRUG,NMD070326,9110241,9110241 : BPNPUREDC-STOCKING(41)
630300203,03 OTHER,06 PHARMACY,0630 WELL BEING,0630 WELL BEING,063030 MEDICATED SKINCARE,06303002 FACIAL CARE,0630300203 NL BASIC/SENSITIVE,P_BEPANTHEN SENSIDERM CREAM20G,P_BEPANTHEN SENSIDERM CREAM20G,102605387,0,8850172243055,BEPANTHEN,NON DRUG,NMD121024,9110241,9110241 : BPNPUREDC-STOCKING(41)
630300203,03 OTHER,06 PHARMACY,0630 WELL BEING,0630 WELL BEING,063030 MEDICATED SKINCARE,06303002 FACIAL CARE,0630300203 NL BASIC/SENSITIVE,P_บีแพนเธน ออยเมนท์ 50กรัม,P_BEPANTHEN OINTMENT 50G,102462766,0,8850172243048,BEPANTHEN,NON DRUG,NMD121024,9110241,9110241 : BPNPUREDC-STOCKING(41)
630300208,03 OTHER,06 PHARMACY,0630 WELL BEING,0630 WELL BEING,063030 MEDICATED SKINCARE,06303002 FACIAL CARE,0630300208 LC BASIC/SENSITIVE,P_บีแพนเธน เฟิสเอส ครีม 30G,P_BEPANTHEN FIRST AID CREAM30G,102076624,0,8850172243024,BEPANTHEN,DRUG,NMD220726,9110241,9110241 : BPNPUREDC-STOCKING(41)
630300203,03 OTHER,06 PHARMACY,0630 WELL BEING,0630 WELL BEING,063030 MEDICATED SKINCARE,06303002 FACIAL CARE,0630300203 NL BASIC/SENSITIVE,P_BEPANTHEN TUBE30G,P_BEPANTHEN TUBE30G,100978627,0,8850172243017,BEPANTHEN,NON DRUG,NMD121024,9110241,9110241 : BPNPUREDC-STOCKING(41)
620100302,03 OTHER,06 PHARMACY,0620 OVER THE COUNTER,0620 OVER THE COUNTER,062010 ANALGESIC,06201003 TOPICAL ANALGESICS,0620100302 LC MUSCLE RELAXANT,P_แซมบัค 36ก,P_ZAMBAC36G,100652238,0,8850172242225,ZAMBAC,DRUG,NMD180226,9110241,9110241 : BPNPUREDC-STOCKING(41)
