DIVISION_NAME,DEPT_GROUP_NAME,DEPARTMENT_NAME,SUBDEPARTMENT_NAME,CLASS_NAME,SUBCLASS_NAME,ART_SV_NAME
06 PHARMACY,0610 PRESCRIPTION,0610 PRESCRIPTION,061080 RESPIRATORIES SYSTEM,06108002 ANTIHISTAMINES&ANTIALLERGICS,0610800202 NON SEDATING,P_เมดิฟาส 180 มก กล่อง 10 เม็ด
06 PHARMACY,0610 PRESCRIPTION,0610 PRESCRIPTION,061020 ANTIBIOTIC,06102001 ANTIBACTERIALS,0610200106 QUINOLONES,P_เมดิกฟล็อก 500 มก. กล่อง10S
06 PHARMACY,0620 OVER THE COUNTER,0620 OVER THE COUNTER,062070 RESPIRATORIES SYSTEM,06207004 MOUTH/THROAT PREPARATIONS,0620700403 LC LOZENGES,P_THROATSIL HONEY&LEMON 8'S
06 PHARMACY,0620 OVER THE COUNTER,0620 OVER THE COUNTER,062070 RESPIRATORIES SYSTEM,06207004 MOUTH/THROAT PREPARATIONS,0620700403 LC LOZENGES,P_THROATSIL ORANGE 8 'S
06 PHARMACY,0620 OVER THE COUNTER,0620 OVER THE COUNTER,062070 RESPIRATORIES SYSTEM,06207005 ANTISMOKING ,0620700501 LC ANTISMOKING ,P_NICOMILD 9'S
06 PHARMACY,0620 OVER THE COUNTER,0620 OVER THE COUNTER,062010 ANALGESIC,06201001 MEDICATED PLASTERS,0620100102 NL MUSCLE RELAXANT,P_CTPพลาสเตอบรรเทาร้อนPCK5 TR
06 PHARMACY,0620 OVER THE COUNTER,0620 OVER THE COUNTER,062010 ANALGESIC,06201001 MEDICATED PLASTERS,0620100102 NL MUSCLE RELAXANT,P_CTPพลาสเตอบรรเทาเย็นPCK5 TR
06 PHARMACY,0620 OVER THE COUNTER,0620 OVER THE COUNTER,062050 GASTROINTESTINALS SYSTEM,06205001 ANTACIDS ANTIFLATULENTS,0620500101 LC ANTACID & ANTIULCERANTS,P_อาโมจิน-เยล 240 มล
06 PHARMACY,0610 PRESCRIPTION,0610 PRESCRIPTION,061060 HORMONES&CONTRACEPTIVES,06106001 HORMONE BALANCE,0610600101 CONTRACEPTIVES,P_เมเปิ้ล ฟอร์ด 1S
06 PHARMACY,0610 PRESCRIPTION,0610 PRESCRIPTION,061040 CNS & NEUROMUSCULARS SYSTEM,06104001 ANTI-INFLAMMATORIES&GOUT,0610400104 TRADITIONAL NSAIDS,P_ไอบูแคป 400มก 10S
06 PHARMACY,0620 OVER THE COUNTER,0620 OVER THE COUNTER,062070 RESPIRATORIES SYSTEM,06207003 COUGH AND COLD,0620700311 NL MUCOLYTICS,P_ยาน้ำแก้ไอ ตราไอ-เฮิร์บ 60มล
06 PHARMACY,0620 OVER THE COUNTER,0620 OVER THE COUNTER,062070 RESPIRATORIES SYSTEM,06207004 MOUTH/THROAT PREPARATIONS,0620700404 NL LOZENGES,P_IHERB ยาอมสมุนไพรOTC18S
05 FRESH FOOD,0562 PERISHABLE_SME,0562 PERISHABLE_SME,056210 PACKAGED DESSERT_SME,05621001 PRESERVED FRUIT_SME,0562100104 BANANA_SME,กล้วยกรอบเบรคแตกสยามคอร์นเนอร์
05 FRESH FOOD,0562 PERISHABLE_SME,0562 PERISHABLE_SME,056210 PACKAGED DESSERT_SME,05621001 PRESERVED FRUIT_SME,0562100105 OTHERS_SME,มันม่วงแผ่นรสหวานสยามคอร์นเนอร
05 FRESH FOOD,0562 PERISHABLE_SME,0562 PERISHABLE_SME,056210 PACKAGED DESSERT_SME,05621001 PRESERVED FRUIT_SME,0562100104 BANANA_SME,กล้วยหอมกรอบสยามคอร์นเนอร์
05 FRESH FOOD,0562 PERISHABLE_SME,0562 PERISHABLE_SME,056210 PACKAGED DESSERT_SME,05621001 PRESERVED FRUIT_SME,0562100105 OTHERS_SME,เผือกแผ่นรสหวาน สยามคอร์นเนอร์
05 FRESH FOOD,0562 PERISHABLE_SME,0562 PERISHABLE_SME,056210 PACKAGED DESSERT_SME,05621001 PRESERVED FRUIT_SME,0562100105 OTHERS_SME,เผือกแท่งรสเค็ม สยามคอร์นเนอร์
